title,lemmatized_text
Village of the Damned,small english village everyone suddenly fall unconscious awake every woman child bearing age pregnant resulting child strange blond hair eye strong connection
Lemony Snicket's A Series of Unfortunate Events,three wealthy child parent killed fire sent distant relative find plotting kill seize fortune
Intolerable Cruelty,revenge seeking gold digger marries womanizing beverly hill lawyer intention making killing divorce
I.Q.,albert einstein help young man love einstein niece catch attention pretending temporarily great physicist
The Deer Hunter,group working class friend decide enlist army vietnam war find hellish chaos noble venture imagined left steven married pregnant girlfriend michael nick love woman three different men upon return
Buena Vista Social Club,fascinating oscar nominated documentary american guitarist ry cooder brings together group legendary cuban folk musician record grammy winning cd native city havana result spectacular compilation concert footage group gig amsterdam new york city famed carnegie hall director wim wenders capturing music also musician life story
Rob Roy,highland scotland rob roy try lead small town better future borrowing money local nobility buy cattle herd market money stolen rob forced robin hood lifestyle defend family honour
Cherche famille désespérément,overview found
Harvey,story elwood p dowd make friend spirit taking form human sized rabbit named harvey see privileged others occasion also sister try commit mental institution comedy error ensues elwood harvey become catalyst family mending wound romance blossoming unexpected place
Peter's Friends,inheriting large country estate late father peter invite friend college married couple roger mary lonely maggie fashionable sarah writer andrew brings american tv star wife carol sarah new boyfriend brian also attends year since college find life different
The Hound of the Baskervilles,nobleman threatened family curse newly inherited estate detective sherlock holmes hired investigate
Guyver: Dark Hero,sean barker became unwilling host alien bio armor known guyver year ago destroyed kronos corporation organization mutant want guyver trying find guyver unit force fight kill evil
Fright Night,charley brewster high school student accidentally discovers true creepy nature jerry dandrige dashing enigmatic new neighbor one seems willing believe
This Is England,story troubled boy growing england set come across skinhead way home school fight become new best friend even like family based experience director shane meadow
Naked in New York,naked new york begin car grown jake talking u girlfriend joanne turn help facing life flash back memory parent college house across squirrel infested peanut factory best friend writing career joanne
Angel,edwardian england precocious girl poor background aspiration novelist find swept fame fortune tasteless romance hit best seller list life change unexpected way encounter aristocratic brother sister cultural ambition fall love
Space Chimps,three chimp sent space explore possibility alien life unmanned space shuttle crash land uncharted planet
White Noise,architect desire speak wife beyond grave using evp electronic voice phenomenon becomes obsession supernatural repercussion
Beethoven,newton family live comfortable home seems something missing hole filled small puppy walk home life beethoven named grows giant dog st bernard doctor varnick local vet secret horrible sideline requires lot dog experiment beethoven bad doctor list
U.S. Marshals,u marshal sam gerard accompanying plane load convict chicago new york plane crash spectacularly mark sheridan escape diplomatic security agent john royce assigned help gerard recapture sheridan becomes clear sheridan another murderer
Leprechaun,horrific leprechaun go rampage precious bag gold coin stolen us magical destructive power trick terrorize kill anyone unlucky enough hinder relentless search frantic attempt survive wrath leprechaun torus friend scramble find weapon known kill irish monster four leaf clover
The Sweetest Thing,christina love life stuck neutral year avoiding hazard meaningful relationship one night club hopping girlfriend meet peter perfect match fed playing game finally get courage let guard follow heart discover peter suddenly left town accompanied courtney set capture one got away
Weird Science,two unpopular teenager gary wyatt fail attempt accepted peer desperation liked lead create woman via computer living breathing creation gorgeous woman lisa whose purpose boost confidence level putting situation require gary wyatt act like men
The Fly,industrialist fran ois delambre called late night sister law helene delambre tell killed husband andr reluctant first eventually explains police andr invented matter transportation apparatus experimenting fly entered chamber matter transference
On Golden Pond,norman ethel thayer summer golden pond filled conflict resolution daughter chelsea arrives family forced renew bond love overcome generational friction existed year
Bulletproof Monk,mysterious immortal tibetan kung fu master spent last year traveling around world protecting ancient scroll ultimate mentor selfish street kid ancient intricacy kung fu
Mona Lisa Smile,story katherine ann watson feminist teacher studied ucla graduate school left boyfriend behind los angeles california teach wellesley college conservative woman private liberal art college massachusetts united state
Doc Hollywood,leaving washington c hospital plastic surgeon ben stone head california lucrative practice beverly hill awaits car accident sentenced perform community general practitioner
Wimbledon,pro tennis player lost ambition fallen rank fortunately meet young player woman circuit help recapture focus wimbledon
Teen Wolf,shy teenager new found power help score basketball popular girl pretty hairy decision make
Police Academy 5: Assignment Miami Beach,police academy misfit travel miami beach commandant lassard honored prestigious lifetime award pending retirement thing take turn lassard unknowingly end possession stolen diamond jewel heist
Sexy Beast,ex safecracker gal dove served time behind bar blissfully retired spanish villa paradise wife adores idyll shattered arrival nemesis logan intent persuading gal return london one last big job desperate sacrifice enchanted existence dove drawn shocking battle will logan take part sensational underwater heist risking everything protect woman love
Heavy Metal,embodiment ultimate evil glowing orb terrorizes young girl bizarre story dark fantasy eroticism horror
Erik the Viking,erik viking gather warrior village set dangerous journey valhalla ask god end age ragnorok allow people see sunlight pythonesque satire viking life
Amistad,slave ship amistad set sail cuba america long trip cinque lead slave unprecedented uprising held prisoner connecticut release becomes subject heated debate freed slave theodore joadson want cinque others exonerated recruit property lawyer roger baldwin help case eventually john quincy adam also becomes ally
Jabberwocky,medieval tale pythonesque humour death father young dennis cooper go town pas several adventure town whole kingdom threatened terrible monster called jabberwocky dennis make fortune anyone brave enough defeat monster
Death Sentence,nick hume mild mannered executive perfect life one gruesome night witness something change forever transformed grief hume eventually come disturbing conclusion length great protecting family
The SpongeBob SquarePants Movie,trouble brewing bikini bottom someone stolen king neptune crown look like mr krab spongebob bos culprit though passed promotion dream spongebob stand bos along best pal patrick set treacherous mission shell city reclaim crown save mr krab life
Watership Down,warren belonging community rabbit threatened brave group led fiver bigwig blackberry hazel leave homeland search safe new
The Court Jester,hapless carnival performer masquerade court jester part plot usurper overthrown rightful king england
The Return of the Pink Panther,famous pink panther jewel stolen inspector clouseau called catch thief inspector convinced phantom returned utilises resource asian manservant reveal identity phantom
The Van,working class quarter dublin bimbo reef get laid job redundancy payout buy van sell fish chip buddy larry due ireland surprising success fifa world cup business start well relationship two friend soon becomes strained bimbo behaves like typical bos
Intimacy,jay failed musician walked family earns living head bartender trendy london pub every wednesday afternoon woman come house graphic almost wordless sex one day jay follows find rest life name claire eventually disrupts relationship
Father of the Bride,george bank ordinary middle class man whose year old daughter annie decided marry man upper class family george think life would like without daughter wife try make happy annie wedding take place home foreign wedding planner take ceremony becomes slightly insane
Animal Farm,successful farmyard revolution resident animal v farmer go horribly wrong corrupt pig hijack personal gain
Dungeons & Dragons,empire izmer divided land elite magician called mages rule lowly commoner powerless empress savina vow bring equality prosperity land evil mage profion plot depose
Invasion of the Body Snatchers,matthew bennell notice several friend complaining close relative way different questioned later seem changed deny everything make lame excuse invader increase number become open bennell witnessed attempted replacement realises friend must escape suffer fate
The Presidio,jay austin civilian police detective colonel caldwell commanding officer year left military police disagreement handling drunk driver series murder cross jurisdiction force work together austin dating caldwell daughter helping relationship
The Hot Chick,jessica spencer popular girl school also meanest thing change attractive teen freak accident involving cursed pair earring chance encounter gas station cause switch body clive sleazy crook jessica form repulsive clive struggle adjust radical alteration set get body back upcoming prom
Bad Girls,four former harlot try leave wild west colorado exact head north make better life unfortunately someone cody past let happen easily
Pecker,baltimore sandwich shop employee becomes overnight sensation photograph taken weird family become latest rage art world young man called pecker peck food like bird
Air America,air america cia private airline operating lao vietnam war running anything everything soldier foodstuff local villager losing pilot license billy covington recruited end middle bunch lunatic pilot gun running friend gene ryack opium smuggling superior
Orange County,shaun brumder local surfer kid orange county dream going stanford become writer get away dysfunctional family household except shaun run one complication another starting application rejected dim witted guidance counselor sends wrong form
Renaissance Man,advertising man slowly sliding downhill fired job detroit sign unemployment one day find job teaching thinking skill army recruit arrives base find structure set class
Fair Game,max kirkpatrick cop protects kate mcquean civil law attorney renegade kgb team terminate
Sabrina,ugly duckling undergone remarkable change still harbor feeling crush carefree playboy business focused brother something say
How to Make an American Quilt,soon wed graduate student finn dodd develops cold foot suspect fianc cheating order clear head finn visit grandmother hy great aunt glady joe cleary grasse calif finn learns hy glady joe member group passionate quilters course visit regaled tale love life woman collected rich experience much wisdom
Father of the Bride Part II,george bank recovered daughter wedding receives news pregnant george wife expecting planning selling home plan like george change arrival grandchild kid
Jade,someone nasty hatchet job san francisco big shot assistant take charge investigation web blackmail prostitution involving governor old lover law man emerges prime suspect deal personal feeling well case
Enemy Mine,soldier earth crashlands alien world sustaining battle damage eventually encounter another survivor enemy specie fighting band together survive hostile world end human find caring enemy completely unexpected way
Flight of the Phoenix,oil rig gobi desert mongolia prof unproductive aircraft crew sent shut operation however way beijing major dust storm force crash c flying boxcar uncharted area desert
Barb Wire,sexy nightclub owner barb wire moonlight mercenary steel harbor one last free zone fascist united state scientist cora devonshire wanders barb establishment get roped top secret government plot involving biological weapon soon barb reunited old flame axel hood cora husband guerrilla fighter resulting plenty tense action
Dracula,jonathan harker attack dracula castle vampire travel nearby city prey family harker fianc e one may able protect dr van helsing harker friend fellow student vampire determined destroy dracula whatever cost
Big Fat Liar,fourteen year old jason shepherd reputation stretching truth big time hollywood producer marty wolf steal class paper turn smash movie one belief jason latest tall tale cross country adventure set record straight jason best friend kaylee devise high tech plan squeeze truth wolf
The Color of Money,former pool hustler fast eddie felson decides want return game taking pupil meet talented green vincent lauria proposes partnership tour pool hall eddie teach vincent trick scamming eventually grows frustrated vincent showboat antic leading argument falling eddie take playing soon cross path vincent opponent
Near Dark,farm boy reluctantly becomes member undead girl meet turn part band vampire roam highway stolen car
Dog Soldiers,squad british soldier training lonesome scottish wilderness find wounded special force captain remains team encounter zoologist megan turn werewolf active region prepare action full moon tonight
Miracle on 34th Street,kris kringle seemingly embodiment santa claus asked portray jolly old fellow macy following performance thanksgiving day parade portrayal complete many begin question truly santa claus others question sanity
The Last Starfighter,video game expert alex rogan find transported another planet conquering last starfighter video game find test recruited join team best starfighters defend world attack
Robin Hood,king richard crusade prince john slithering minion sir hiss set taxing nottingham citizen support corrupt sheriff staunch opposition wily robin hood band merry men
High School Musical 3: Senior Year,almost graduation day high school senior troy gabriella sharpay chad ryan taylor thought heading separate direction leaving east high wildcat thinking need something remember forever together rest wildcat stage spring musical reflecting hope fear future unforgettable experience growing together final show break apart bring together greatest moment wildcat history
Snow Dogs,miami dentist inherits team sled dog got learn trade lose pack crusty mountain man
Iris,true story lifelong romance novelist iris murdoch husband john bayley student day battle alzheimer disease
Oscar,angelo snap provolone made dying father promise deathbed would leave world crime become honest businessman despite experience making money legal fashion snap set keep promise
Kung Pow: Enter the Fist,movie within movie created spoof martial art genre writer director steve oedekerk us contemporary character splice kung fu film weaving new old together main character chosen one oedekerk set avenge death parent hand kung fu legend master pain along way encounter strange character
Murder by Numbers,tenacious homicide detective cassie mayweather still green partner working murder case attempting profile two malevolently brilliant young men cold calculating killer whose dark secret might explain crime
Runaway Train,hardened convict younger prisoner escape brutal prison middle winter find control train female railway worker pursued vengeful head security
Curly Sue,bill dancer young companion curly sue classic homeless folk heart gold scam aimed turning profit getting enough eat scam rich beautiful grey ellison believing backed mercedes bill hoping free meal grey touched objection snotty fianc
Police Academy 6: City Under Siege,favourite police men called together deal gang rob bank jeweler using various talent well extraordinary luck crook stand chance men woman blue
Throw Momma from the Train,larry donner author cruel ex wife teach writing workshop one student owen fed domineering mother owen watch hitchcock classic seems mirror life decides put movie plot action offer kill larry ex wife larry promise murder mom larry get chance react plan seems owen already set thing motion
How the West Was Won,epic tale development american west civil war end century seen eye one pioneer family
Kind Hearts and Coronets,mother eloped italian opera singer louis mazzini cut aristocratic family family refuse let buried family mausoleum louis avenges mother death attempting murder every family member stand family fortune find torn longtime love widow one victim plan go awry
The Muppets Take Manhattan,muppets graduate danhurst college take song filled senior revue new york city learn easy find producer willing back show starring frog pig course kermit frog miss piggy take answer launching search someone take broadway
High Plains Drifter,gunfighting stranger come small settlement lago gunning three gunman tried kill townsfolk decide hire stranger hold three outlaw way
Young Sherlock Holmes,sherlock holmes dr watson meet boy english boarding school holmes known deductive ability even youth amazing classmate ability discover plot murder series british business men egyptian cult move stop
The Company of Wolves,adaptation angela carter fairy tale young rosaleen dream village dark wood granny tell cautionary tale innocent maiden tempted wolf hairy inside rosaleen grows womanhood wolf come
Hatchet,group tourist new orleans haunted swamp tour find stranded wilderness evening fun spook turn horrific nightmare
Hogfather,night hogswatch usually time joy discworld suspicious going criminal underworld abuzz beloved hogfather jolly bearer glee pork related gift child everywhere vanished suddenly discworld entire mythical system threat fate magical time rest hand motley group band wizard headed mystical university president named mustrum ridcully joss ackland loyal manservant called albert david jason level headed governess called susan sto heilt michelle dockery grandfather happens death marnix van den broeke
Two Mules for Sister Sara,hogan way reconnaissance future mission capture french fort encounter sister sara nun trouble know hogan accompanying sister sara dangerous frontier seek achieve hidden goal
Saw V,detective hoffman seemingly last person alive carry jigsaw legacy secret threatened must go hunt eliminate loose end
Superhero Movie,team behind scary movie take comic book genre tale rick riker nerdy teen imbued superpower radioactive dragonfly every hero need nemesis enter lou lander aka villainously goofy hourglass
The Vanguard,year overpopulation famine plunged planet chaos one desperate survivor find hunted pursued horde rage crazed zombie
Tetro,bennie travel buenos aire find long missing older brother promising writer remnant former self bennie discovery brother near finished play might hold answer understanding shared past renewing bond
Dolores Claiborne,dolores claiborne accused killing abusive husband twenty year ago court finding inconclusive allowed walk free accused killing employer vera donovan time witness place scene crime thing look bad dolores daughter selena successful manhattan magazine writer return cover story
In Her Shoes,irresponsible party girl maggie kicked father stepmother home life free taken hard working sister philadelphia lawyer rose maggie disruptive way ruin sister love life rose turn well grandmother never knew existed come life sister face complicated truth family
Bride of Chucky,chucky hook another murderous doll bridal gown clad tiffany route murder spree unwitting host
Nothing but Trouble,attempting seduce gorgeous lawyer diane lightson wealthy gadabout chris thorne agrees drive atlantic city n j reckless driving draw attention deeply critical cop flamboyant brazillionaires tagged along end court grotesque vengeful judge special vendetta wealthy erudite
The Hudsucker Proxy,naive business graduate installed president manufacturing company part stock scam
Capricorn One,order protect reputation american space program team scientist stage phony mar landing willingly participating deception trio well meaning astronaut become liability space capsule reported lost entry help crusading reporter must battle sinister conspiracy stop nothing keep truth
The Gods Must Be Crazy II,xixo back time child accidentally stow away fast moving poacher truck unable get xixo set rescue along way encounter couple soldier trying capture pilot passenger small plane problem
Clockwise,uncompromising british school headmaster find beset one thing going wrong another
A Day at the Races,doctor hugo hackenbush tony stuffy try save judy farm winning big race horse problem hackenbush run high priced clinic wealthy know degree veterinary medicine
Sinbad and the Eye of the Tiger,princess farah refuse marry sinbad prince kassim brother able give consent however prince wicked stepmother queen zenobia changed kassim baboon order son crowned caliph sinbad crew princess transformed prince travel distant land fighting every obstacle zenobia place path seek advice legendary wise man possibly tell end spell
Bring Me the Head of Alfredo Garcia,american bartender prostitute girlfriend go road trip mexican underworld collect million bounty head dead gigolo
Jeremiah Johnson,mountain man wish live life hermit becomes unwilling object long vendetta indian prof match warrior one one combat early frontier
Monty Python Live at the Hollywood Bowl,monty python perform many greatest sketch hollywood bowl including several pre python day
Cannonball Run II,original character first cannonball run movie compete illegal race across country various car truck
Vanishing Point,kowalski work car delivery service take delivery dodge challenger drive colorado san francisco shortly pickup take bet get car less hour
Lifeforce,space shuttle mission investigating halley comet brings back malevolent race space vampire transform london population zombie survivor expedition british authority attempt capture mysterious beautiful alien woman appears responsible
Iron Eagle II,chappy sinclair called gather together mixed soviet u strike force perform surgical strike massively defended nuclear missile site middle east chappy find getting soviet u pilot cooperate minor problem discovers someone pentagon actively sabotaging mission
UHF,eccentric new manager uhf television channel try save station financial ruin odd array programming
Joe's Apartment,nice guy moved new york discovers must share run apartment couple thousand singing dancing cockroach
Three Days of the Condor,bookish cia researcher find co worker dead must outwit responsible figure really trust
Short Circuit 2,robot johnny move city help friend ben jahrvi toy manufacturing enterprise manipulated criminal want use nefarious purpose
Young Guns,group young gunman led billy kid become deputy avenge murder rancher became benefactor billy take authority far become hunted
Into the Blue,take friend extreme sport adventure last thing jared sam expect see shark infested water legendary pirate ship rumored contain million dollar gold good fortune short lived ruthless gang criminal get word uncovered
Tombstone,legendary marshal wyatt earp weary gunfighter join brother morgan virgil pursue collective fortune thriving mining town tombstone earp forced badge get help notorious pal doc holliday gang renegade brigand rustler begin terrorizing town
Hercules,bestowed superhuman strength young mortal named hercules set prove hero eye father great god zeus along friend pegasus flying horse phil personal trainer hercules tricked hilarious hotheaded villain hades plotting take mount olympus
Much Ado About Nothing,shakespearean farce hero groom claudio team claudio commanding officer pedro week wedding hatch matchmaking scheme target sharp witted duo benedick beatrice tough task indeed considering corresponding distaste love meanwhile meddling john plot ruin wedding
Thirteen Days,story cuban missile crisis nuclear standoff ussr sparked discovery american missile base established soviet allied island cuba
The 'Burbs,secretive new neighbor move next door suburbanite ray peterson friend let paranoia get best start suspect newcomer evildoing commence investigation hardly ray much prefers drinking beer reading newspaper watching ball game tube expected spend vacation
The Rainmaker,rudy baylor young attorney client go work seedy ambulance chaser want help parent terminally ill boy suit insurance company take corporate america rudy scrappy paralegal must open law firm
Legend,set timeless mythical forest inhabited fairy goblin unicorn mortal fantastic story follows mystical forest dweller chosen fate undertake heroic quest must save beautiful princess lili defeat demonic lord darkness world plunged never ending ice age
Caddyshack,exclusive country club ambitious young caddy danny noonan eagerly pursues caddy scholarship hope attending college turn avoiding job lumber yard order succeed must first win favour elitist judge smails caddy golf tournament smails sponsor
Men of Honor,formidable odds old school diving instructor embittered u navy new less prejudicial policy carl brashear set sight becoming navy first african american master diver uplifting true story relationship start rock fate ultimately conspires bring men together setting mutual respect triumph honor
Queen of the Damned,lestat de lioncourt awakened slumber bored existence become generation new rock god course time another arisen akasha queen vampire dammed want immortal fame fellow vampire want eternally dead betrayal queen want king first reach shall win
The Prophecy,angel gabriel come earth collect soul end stalemated war heaven former priest little girl stop
Look Who's Talking Now!,samantha lebon hatch scheme spend romantic christmas new employee unsuspecting blithesome james wife kid two dog rock daphne must rescue make terrible mistake
Proof of Life,alice hire professional negotiator obtain release engineer husband kidnapped anti government guerrilla south america
Spun,course three day ross college dropout addicted crystal meth encounter variety oddball folk including stripper named nikki boyfriend local meth producer cook really want hook old girlfriend amy
Dr. Alemán,marc unexperienced medical doctor germany arrives hospital universitario del valle cali colombia internship soon find raging gang war silo cali barrio hospital care mostly shotgun wound street fall love stall holder care child involved drug trafficking criminal violence alienating colleague host family befriending kid soon find trapped center violent conflict gang come decision
Mad Money,three female employee federal reserve plot steal money destroyed
Fortress,future inmate private underground prison computer controlled camera dream reader device cause pain death john christopher lambert illegally pregnant wife karen loryn locklin locked inside fortress determined escape birth baby
Just Married,tom leezak sarah mcnerney fall love plan get married despite opposition sarah uptight rich family get married get chance prove sarah family wrong go european honeymoon run disaster disaster decide whether honeymoon hell pre marital mistake worth throwing away love marriage
Alice in Wonderland,golden afternoon young alice follows white rabbit disappears nearby rabbit hole quickly following tumble burrow enters merry topsy turvy world wonderland memorable song whimsical escapade highlight alice journey culminates madcap encounter queen heart army playing card
Jackass Number Two,jackass number two compilation various stunt prank skit essentially plot chris pontius johnny knoxville steve bam margera whole crew return screen raise stake higher ever
From Dusk Till Dawn 2: Texas Blood Money,gang bank robbing misfit head mexico blueprint perfect million dollar heist one crook wanders wrong bar cross wrong vampire thieving cohort develop thirst blood
The Pink Panther,coach france soccer team killed poisoned dart stadium end game expensive huge ring diamond pink panther disappears ambitious chief inspector dreyfus assigns worst police inspector jacques clouseau case
Windtalkers,joe enders gung ho marine assigned protect windtalker one several navajo indian used relay message world war ii spoken language indecipherable japanese code breaker
Soylent Green,overpopulated futuristic earth new york police detective find marked murder government agent get close bizarre state secret involving origin revolutionary needed new foodstuff
Kramer vs. Kramer,ted kramer career man work come family wife joanna cannot take anymore decides leave ted faced task housekeeping taking care young son billy
Don't Say a Word,daughter psychiatrist kidnapped horrified discover abductor demand break post traumatic stress disorder suffering young woman know secret
Pink Floyd: The Wall,troubled rock star descends madness midst physical social isolation everyone
Yellow Submarine,blue meany take pepperland draining color music firing anti music missile bonking people green apple turning inhabitant stone way pointed finger giant blue glove survivor lord admiral escape yellow submarine go liverpool enlist help beatles
The Quick and the Dead,mysterious woman come compete quick draw elimination tournament town taken notorious gunman
Nutty Professor II: The Klumps,hilarity begin professor sherman klump find romance fellow dna specialist denise gaines discovers brilliant formula revers aging sherman thin obnoxious alter ego buddy love want big piece action buddy get loose thing get seriously nutty
It's All Gone Pete Tong,gone pete tong comedy following tragic life legendary frankie wilde story take u frankie life one best dj alive subsequent battle hearing disorder culminating mysterious disappearance scene
Dracula: Dead and Loving It,lawyer show vampire doorstep fall prey charm join search fresh blood enter professor van helsing may one able vanquish count
Body of Lies,cia hunt mastermind wave terrorist attack roger ferris agency man ground moving place place scrambling stay ahead ever shifting event eye sky satellite link watch ferris end real time link cia ed hoffman strategizing event thousand mile away ferris nears target discovers trust dangerous necessary survival
"Love, Money, Love",david recently fired scrapyard worker marie prostitute year old meet new year eve berlin decide run away together david arm plastered accident marie continues prostitute finance restless journey ruhr area love survive guide though problem
Instinct,prison criminally insane deranged anthropologist ethan powell set examined bright young psychiatrist theo caulder driven ambition hunger truth caulder eventually risk everything even put life line harrowing attempt understand bizarre action madman
Police Academy 3: Back in Training,police funding cut governor announces must close one academy make fair two police academy must compete stay operation mauser persuades two officer lassard academy better odds thing quite turn expected
My Stepmother is an Alien,trying rescue home planet destruction gorgeous extraterrestrial named celeste arrives earth begin scientific research woos quirky scientist dr steve mill widower young daughter long celeste find love steve new life earth experience true intimacy first time loses sight mission begin question belongs
Made in America,young black woman discovers father sperm donor bad enough white
Village of the Damned,american village visited unknown life form leaf woman village pregnant nine month later baby born look normal take parent long realize kid human humane
Chain Reaction,two researcher green alternative energy project forced run framed murder treason
Patagonia,patagonia narrates journey two woman one looking past future film inter cut story one travel south north welsh springtime east west argentine autumn
Herbie Goes Bananas,adorable little vw help owner break counterfeiting ring mexico
Step Brothers,brennan huff dale doback might grown men stop living home turning jealous competitive stepbrother single parent marry brennan constant competition dale strain mom marriage dale dad leaving everyone wonder whether ever see eye eye
3000 Miles to Graceland,ingenious enough plan rob riviera casino count room elvis impersonator convention thomas murphy decided keep money shot partner including recently freed ex con michael zane million stake marshal service closing michael must track murphy
Dennis the Menace,mr wilson ever present annoyance come form one mischievous kid named dennis need dennis trick uncover collection gold coin go missing shady drifter named switchblade sam come town
Alone in the Dark,edward carnby private investigator specializing unexplainable supernatural phenomenon case delve dark corner world searching truth occult remnant ancient civilization greatest mystery past become dangerous case ever faced
Bad Lieutenant,investigating young nun rape corrupt new york city police detective serious drug gambling addiction try change way find forgiveness
The Land Before Time,orphaned brontosaurus named littlefoot set search legendary great valley land lush vegetation dinosaur thrive live peace along way meet four young dinosaur one different specie encounter several obstacle learn work together order survive
Fierce Creatures,ex policeman rollo lee sent run marwood zoo newly acquired business new zealand tycoon order meet high profit target keep zoo open rollo enforces new fierce creature policy whereby impressive dangerous animal allowed remain zoo however keeper less enthusiastic complying demand
The Missing,rancher single mother two maggie gilkeson see teenage daughter lily kidnapped apache rebel reluctantly accepts help estranged father samuel tracking kidnapper along way two must learn reconcile past work together going hope getting lily back taken border forced become prostitute
Frailty,man confesses fbi agent family story religious fanatic father vision lead series murder destroy supposed demon
Sea of Love,seen new york detective frank keller unsettled done twenty year force could retire come term wife leaving colleague joining officer another part town investigate series murder linked lonely heart column find getting seriously possibly dangerously involved helen one main suspect
Ruthless People,couple cheated vile businessman kidnap wife retaliation without knowing enemy delighted
White Chicks,two fbi agent brother marcus kevin copeland accidentally foil drug bust punishment forced escort pair socialite hampton going used bait kidnapper girl realize fbi plan refuse go left without option marcus kevin decide pose sister transforming african american men pair blonde white woman
3 Men and a Baby,three bachelor find forced take care baby left one guy girlfriend
Alice in Wonderland,alice unpretentious individual year old betrothed dunce english nobleman engagement party escape crowd consider whether go marriage fall hole garden spotting unusual rabbit arriving strange surreal place called underland find world resembles nightmare child filled talking animal villainous queen knight frumious bandersnatches alice realizes reason conquer horrific jabberwocky restore rightful queen throne
Green Card,urban horticulturalist bront mitchell eye gorgeous apartment building board rent married couple george faur waiter france whose visa expiring need marry american woman stay country marriage convenience turn burden must live together allay suspicion immigration service polar opposite grate nerve
Vampire in Brooklyn,maximillian lone survivor race vampire come brooklyn search way live past next full moon ticket survival rita nypd detective know half vampire maximillian whatever necessary put spell
What Dreams May Come,chris neilson dy find heaven amazing could ever dreamed one thing missing wife dy wife annie killed went hell chris decides risk eternity hades small chance able bring back heaven
Wyatt Earp,covering life time one west iconic hero wyatt earp weave intricate tale earp friend family star studded cast sweeping cinematography authentic costume wyatt earp led way western revival
The Hurt Locker,forced play dangerous game cat mouse chaos war elite army bomb squad unit must come together city everyone potential enemy every object could deadly bomb
The Wrestler,aging wrestler randy ram robinson long past prime still ready rarin go pro wrestling circuit particularly brutal beating however randy hang tights pursues serious relationship long tooth stripper try reconnect estranged daughter resist lure ring ready comeback
The Burning Plain,trailer burning middle plain body two adulterous lover found scene family dramatic event suggest unusual connection secret
The Deaths of Ian Stone,death tell story american guy murdered day horrifying pursuer wake slightly different life experience terror murdered
Encounters at the End of the World,herzog cinematographer peter zeitlinger go antarctica meet people live work capture footage continent unique location herzog voiceover narration explains film typical antarctica film fluffy penguin explore dream people landscape
The Marvelous Visit,one morning rector small french village come across young man lying unclothed unconscious deserted beach intrigued rector young man carried back home awakes stranger calmly identifies jean angel arrived earth naturally rector believe decides humour young man first jean arrival village cause upset harmless soul full good intention capable kindest deed villager grow wary wariness turn outright hostility jean unwittingly cause accident
With a Little Help from Myself,besieged matriarch sonia try make certain daughter nuptials come flawlessly even event spiral control dark comedy helmed fran ois dupeyron sonia wayward eldest son arrest drug charge discovers account hubby gambled away money set aside reception sonia family triumph crumble face adversity
Ghosts of Goldfield,group five led julie set filming equipment hotel derelict town goldfield hoping capture footage ghost elisabeth walker maid tortured killed room troubled vision julie discovers necklace handed grandmother somehow connecting tragedy
The Love Guru,born america raised indian ashram pitka return native land seek fortune spiritualist self help expert skill put test must get brokenhearted hockey player marriage back track time man help team win stanley cup
Miss Pettigrew Lives for a Day,london england eve world war ii guinevere pettigrew strict governess unable keep job fired lost hostile city series fortunate circumstance lead meet delysia lafosse glamorous dazzling american jazz singer whose life chaos ruled indecision continuous battle love fame
Where in the World Is Osama Bin Laden?,morgan spurlock super size tour middle east discus war terror arabic people
Star Wars: The Clone Wars,set episode ii iii clone war first computer animated star war film anakin obi wan must find kidnapped jabba hutt son return safely seperatists try anything stop ruin chance diplomatic agreement hutts republic
Blue Angels 2,devil infected heaven computer system virus make bad guy earth look like angel course open gate arrival two celestial ace trouble shooter tough tony joe doggs called upon save day joining loveable computer geek lot smarter look
Nick and Norah's Infinite Playlist,nick cannot stop obsessing ex girlfriend tris tris friend norah suddenly show interest club thus being odd night filled ups down two keep running tris new boyfriend searching norah drunken friend caroline help nick band mate night wind two figure want
The Wendell Baker Story,luke wilson play good hearted ex con get job retirement hotel three elderly resident help win back girlfriend lends hand fighting hotel corruption
The Other Boleyn Girl,sumptuous sensual tale intrigue romance betrayal set backdrop defining moment european history two beautiful sister anne mary boleyn driven family blind ambition compete love handsome passionate king henry viii
Heaven Can Wait,joe pendleton quarterback preparing lead team superbowl almost killed accident overanxious angel pluck heaven discover ready die body cremated new body must found recently murdered millionaire chosen wife accountant murderer confused development buy l ram order quarterback superbowl
Defending Your Life,afterlife resembling present day u people must prove worth showing court demonstrated courage
Heart and Souls,businessman reunited four lost soul guardian angel childhood particular purpose joining afterlife
Pathology,medical student ted grey graduate top class quickly join elite pathology program whose top student invite circle uncovers gruesome secret play game one try commit perfect undetectable murder others compete determine victim cause death
Four Christmases,brad kate made something art form avoiding family holiday year foolproof plan go bust big time stuck city airport departing flight canceled couple embarrassed see ruse exposed world overzealous television reporter brad kate left precious little choice swallow pride suffer round
Edge of Darkness,seasoned homicide detective thomas craven seen bleakest side humanity nothing prepares toughest investigation life search daughter emma killer personal mission uncover disturbing secret surrounding murder including corporate corruption government collusion emma mysterious life
Casino Royale,sir james bond called back retirement stop smersh order trick smersh james think ultimate plan every agent named james bond one bond whose real name evelyn tremble sent take le chiffre game baccarat bond get handle
Abxang,overview found
